feature,definition,window_and_leakage,empty_means
tc_season_final,Torvik season F used as the final pre-draft college season,"final pre-draft season F (F <= Y); complete in April, the draft is in June or later",never empty for a matched row
tc_match_rule,"which matching step resolved the row: 2 unique candidate, 3 verified birthdate, 4 col_gp/col_mpg agreement, 5 final season == draft year",matching only,never empty for a matched row
tc_match_tv_agrees,"1 when the accepted Torvik player is the one data_v4's own tv_ columns point at, 0 when it differs",matching only,data_v4 carries no tv_ line for this pid
tc_age_bucket,"floor of age at the season-F midpoint (Jan 15), clipped to [17, 24]","final pre-draft season F (F <= Y); complete in April, the draft is in June or later",never empty for a matched row
tc_age_at_season,"age in years on 15 January of season F, from the Torvik birthdate","final pre-draft season F (F <= Y); complete in April, the draft is in June or later",never empty for a matched row
tc_age_imputed,"1 when the Torvik birthdate is the October-15 filler (year known, day not), 0 when it is a real date","final pre-draft season F (F <= Y); complete in April, the draft is in June or later",never empty for a matched row
tc_age_cohort_n,"number of D1 players in his (season F, age bucket) cohort cell",same-season D1 population with Min_per >= 40; season F is complete on draft night,cell smaller than 20
tc_pct_age_bpm,"percentile of bpm within his (season F, age bucket) cohort",same-season D1 population with Min_per >= 40; season F is complete on draft night,cohort cell < 20 players or stat missing
tc_pct_age_obpm,"percentile of obpm within his (season F, age bucket) cohort",same-season D1 population with Min_per >= 40; season F is complete on draft night,cohort cell < 20 players or stat missing
tc_pct_age_dbpm,"percentile of dbpm within his (season F, age bucket) cohort",same-season D1 population with Min_per >= 40; season F is complete on draft night,cohort cell < 20 players or stat missing
tc_pct_age_usg,"percentile of usg within his (season F, age bucket) cohort",same-season D1 population with Min_per >= 40; season F is complete on draft night,cohort cell < 20 players or stat missing
tc_pct_age_ts,"percentile of TS_per within his (season F, age bucket) cohort",same-season D1 population with Min_per >= 40; season F is complete on draft night,cohort cell < 20 players or stat missing
tc_pct_age_ast,"percentile of AST_per within his (season F, age bucket) cohort",same-season D1 population with Min_per >= 40; season F is complete on draft night,cohort cell < 20 players or stat missing
tc_pct_age_stl,"percentile of stl_per within his (season F, age bucket) cohort",same-season D1 population with Min_per >= 40; season F is complete on draft night,cohort cell < 20 players or stat missing
tc_pct_age_blk,"percentile of blk_per within his (season F, age bucket) cohort",same-season D1 population with Min_per >= 40; season F is complete on draft night,cohort cell < 20 players or stat missing
tc_pct_age_orb,"percentile of ORB_per within his (season F, age bucket) cohort",same-season D1 population with Min_per >= 40; season F is complete on draft night,cohort cell < 20 players or stat missing
tc_pct_age_drb,"percentile of DRB_per within his (season F, age bucket) cohort",same-season D1 population with Min_per >= 40; season F is complete on draft night,cohort cell < 20 players or stat missing
tc_pct_age_porpag,"percentile of porpag within his (season F, age bucket) cohort",same-season D1 population with Min_per >= 40; season F is complete on draft night,cohort cell < 20 players or stat missing
tc_resid_age_bpm,bpm minus the cubic age-curve expectation at his season-F age,"cubic age curve fit on D1 player-seasons with year < Y and Min_per >= 40 (expanding, refit per draft year)",no fit population (2008 class)
tc_z_age_bpm,tc_resid_age_bpm divided by the residual sd of the fit population,"cubic age curve fit on D1 player-seasons with year < Y and Min_per >= 40 (expanding, refit per draft year)",no fit population (2008 class)
tc_resid_age_obpm,obpm minus the cubic age-curve expectation at his season-F age,"cubic age curve fit on D1 player-seasons with year < Y and Min_per >= 40 (expanding, refit per draft year)",no fit population (2008 class)
tc_z_age_obpm,tc_resid_age_obpm divided by the residual sd of the fit population,"cubic age curve fit on D1 player-seasons with year < Y and Min_per >= 40 (expanding, refit per draft year)",no fit population (2008 class)
tc_resid_age_dbpm,dbpm minus the cubic age-curve expectation at his season-F age,"cubic age curve fit on D1 player-seasons with year < Y and Min_per >= 40 (expanding, refit per draft year)",no fit population (2008 class)
tc_z_age_dbpm,tc_resid_age_dbpm divided by the residual sd of the fit population,"cubic age curve fit on D1 player-seasons with year < Y and Min_per >= 40 (expanding, refit per draft year)",no fit population (2008 class)
tc_resid_age_usg,usg minus the cubic age-curve expectation at his season-F age,"cubic age curve fit on D1 player-seasons with year < Y and Min_per >= 40 (expanding, refit per draft year)",no fit population (2008 class)
tc_z_age_usg,tc_resid_age_usg divided by the residual sd of the fit population,"cubic age curve fit on D1 player-seasons with year < Y and Min_per >= 40 (expanding, refit per draft year)",no fit population (2008 class)
tc_resid_age_ts,TS_per minus the cubic age-curve expectation at his season-F age,"cubic age curve fit on D1 player-seasons with year < Y and Min_per >= 40 (expanding, refit per draft year)",no fit population (2008 class)
tc_z_age_ts,tc_resid_age_ts divided by the residual sd of the fit population,"cubic age curve fit on D1 player-seasons with year < Y and Min_per >= 40 (expanding, refit per draft year)",no fit population (2008 class)
tc_resid_age_ast,AST_per minus the cubic age-curve expectation at his season-F age,"cubic age curve fit on D1 player-seasons with year < Y and Min_per >= 40 (expanding, refit per draft year)",no fit population (2008 class)
