raw_zero_based_index,field,admit_current_raw_column,decision,earliest_definition_evidence,pre2018_formula_decision,walkforward_2012_2013_2014_decision,dependencies,proof_needed,sources
5,ORtg,False,conditional_reconstruction_candidate_current_raw_unverified,2004 Oliver definition; ORtg independently discussed in a dated2005 college primer,Established definition predates freeze; authorize only a pinned reconstruction or proven matching implementation after source dependencies pass,Definition predates all folds; each reconstruction must use only college player/team/opponent data available at that fold cutoff,"College player/team/opponent box scores, minutes, possessions and fixed pre-cutoff Oliver coefficients; no newly fitted NBA coefficient model","Verify field meaning/unit and exact Torvik implementation against a pinned original definition, including possession/free-throw constants and zero denominators. Establish complete historical team/opponent denominators and source cutoff/vintage; do not infer raw-column equivalence from the label.",oliver_ratings|kenpom_primer
28,porpag,False,unresolved_exclude,No dated exact player-level formula established within the bounded primary-source audit,Unresolved; exclude,Unresolved for every fold; exclude,"Unverified: player versus team adjusted-rating identity, opponent-strength adjustment, baseline/replacement value, usage/tempo/minutes transformations and estimation sample","Obtain dated author formula and exact raw-field mapping. Trace all strength-of-schedule, replacement and calibration constants to college-only data ending before the relevant cutoff. Do not substitute current team ADJOE descriptions for player field29.",torvik_author
29,adjoe,False,unresolved_exclude,No dated exact player-level formula established within the bounded primary-source audit,Unresolved; exclude,Unresolved for every fold; exclude,"Unverified: player versus team adjusted-rating identity, opponent-strength adjustment, baseline/replacement value, usage/tempo/minutes transformations and estimation sample","Obtain dated author formula and exact raw-field mapping. Trace all strength-of-schedule, replacement and calibration constants to college-only data ending before the relevant cutoff. Do not substitute current team ADJOE descriptions for player field29.",torvik_author
46,drtg,False,conditional_reconstruction_candidate_current_raw_unverified,2004 Oliver definition; ORtg independently discussed in a dated2005 college primer,Established definition predates freeze; authorize only a pinned reconstruction or proven matching implementation after source dependencies pass,Definition predates all folds; each reconstruction must use only college player/team/opponent data available at that fold cutoff,"College player/team/opponent box scores, minutes, possessions and fixed pre-cutoff Oliver coefficients; no newly fitted NBA coefficient model","Verify field meaning/unit and exact Torvik implementation against a pinned original definition, including possession/free-throw constants and zero denominators. Establish complete historical team/opponent denominators and source cutoff/vintage; do not infer raw-column equivalence from the label.",oliver_ratings
47,adrtg,False,unresolved_exclude,No dated exact player-level formula established within the bounded primary-source audit,Unresolved; exclude,Unresolved for every fold; exclude,"Unverified: player versus team adjusted-rating identity, opponent-strength adjustment, baseline/replacement value, usage/tempo/minutes transformations and estimation sample","Obtain dated author formula and exact raw-field mapping. Trace all strength-of-schedule, replacement and calibration constants to college-only data ending before the relevant cutoff. Do not substitute current team ADJOE descriptions for player field29.",torvik_author
48,dporpag,False,unresolved_exclude,No dated exact player-level formula established within the bounded primary-source audit,Unresolved; exclude,Unresolved for every fold; exclude,"Unverified: player versus team adjusted-rating identity, opponent-strength adjustment, baseline/replacement value, usage/tempo/minutes transformations and estimation sample","Obtain dated author formula and exact raw-field mapping. Trace all strength-of-schedule, replacement and calibration constants to college-only data ending before the relevant cutoff. Do not substitute current team ADJOE descriptions for player field29.",torvik_author
49,stops,False,conditional_reconstruction_candidate_current_raw_unverified,2004 Oliver definition; ORtg independently discussed in a dated2005 college primer,Established definition predates freeze; authorize only a pinned reconstruction or proven matching implementation after source dependencies pass,Definition predates all folds; each reconstruction must use only college player/team/opponent data available at that fold cutoff,"College player/team/opponent box scores, minutes, possessions and fixed pre-cutoff Oliver coefficients; no newly fitted NBA coefficient model","Verify field meaning/unit and exact Torvik implementation against a pinned original definition, including possession/free-throw constants and zero denominators. Establish complete historical team/opponent denominators and source cutoff/vintage; do not infer raw-column equivalence from the label.",oliver_ratings
50,bpm,False,unresolved_exclude,Original Myers BPM released in2014; exact day and Torvik adaptation unverified,"Original method predates2018 in principle; current Torvik version, adaptation and coefficient sample unverified, so exclude",2012/2013: original public method postdates these folds. 2014: exact release/cutoff and permitted calibration sample unverified; exclude all three folds.,A fitted NBA RAPM coefficient model plus player box scores and team context; offensive/defensive variant mapping in Torvik is not proven by the total-BPM comment,"Pin original release date, source code/coefficients and end date of NBA calibration sample; establish exact college adjustment and current raw-column equivalence. Even if legally available by2018, reuse in earlier folds needs a separate time-valid methodological rule.",bpm_methods|torvik_author
51,obpm,False,unresolved_exclude,Original Myers BPM released in2014; exact day and Torvik adaptation unverified,"Original method predates2018 in principle; current Torvik version, adaptation and coefficient sample unverified, so exclude",2012/2013: original public method postdates these folds. 2014: exact release/cutoff and permitted calibration sample unverified; exclude all three folds.,A fitted NBA RAPM coefficient model plus player box scores and team context; offensive/defensive variant mapping in Torvik is not proven by the total-BPM comment,"Pin original release date, source code/coefficients and end date of NBA calibration sample; establish exact college adjustment and current raw-column equivalence. Even if legally available by2018, reuse in earlier folds needs a separate time-valid methodological rule.",bpm_methods|torvik_author
52,dbpm,False,unresolved_exclude,Original Myers BPM released in2014; exact day and Torvik adaptation unverified,"Original method predates2018 in principle; current Torvik version, adaptation and coefficient sample unverified, so exclude",2012/2013: original public method postdates these folds. 2014: exact release/cutoff and permitted calibration sample unverified; exclude all three folds.,A fitted NBA RAPM coefficient model plus player box scores and team context; offensive/defensive variant mapping in Torvik is not proven by the total-BPM comment,"Pin original release date, source code/coefficients and end date of NBA calibration sample; establish exact college adjustment and current raw-column equivalence. Even if legally available by2018, reuse in earlier folds needs a separate time-valid methodological rule.",bpm_methods|torvik_author
53,gbpm,False,exclude_later_formula_vintage_and_unverified_adaptation,BPM2 authored February2020; publisher rollout2020-02-25; Torvik author identifies gbpm with BPM2 in2022,Exclude: documented formula release follows2018,Exclude: formula follows all folds and NBA calibration through2015–16 includes later seasons relative to these folds,"NBA-fitted BPM2 coefficients, position/role estimation and college team/player inputs; offensive/defensive raw variant mapping remains unverified","A separately registered alternative using only pre-cutoff coefficients could be reconstructed, but it must receive a new feature name and cannot be labeled as validated current GBPM. Need exact Torvik adaptation and release evidence before any later-cutoff use.",bpm_methods|bpm_release|torvik_author
55,ogbpm,False,exclude_later_formula_vintage_and_unverified_adaptation,BPM2 authored February2020; publisher rollout2020-02-25; Torvik author identifies gbpm with BPM2 in2022,Exclude: documented formula release follows2018,Exclude: formula follows all folds and NBA calibration through2015–16 includes later seasons relative to these folds,"NBA-fitted BPM2 coefficients, position/role estimation and college team/player inputs; offensive/defensive raw variant mapping remains unverified","A separately registered alternative using only pre-cutoff coefficients could be reconstructed, but it must receive a new feature name and cannot be labeled as validated current GBPM. Need exact Torvik adaptation and release evidence before any later-cutoff use.",bpm_methods|bpm_release|torvik_author
56,dgbpm,False,exclude_later_formula_vintage_and_unverified_adaptation,BPM2 authored February2020; publisher rollout2020-02-25; Torvik author identifies gbpm with BPM2 in2022,Exclude: documented formula release follows2018,Exclude: formula follows all folds and NBA calibration through2015–16 includes later seasons relative to these folds,"NBA-fitted BPM2 coefficients, position/role estimation and college team/player inputs; offensive/defensive raw variant mapping remains unverified","A separately registered alternative using only pre-cutoff coefficients could be reconstructed, but it must receive a new feature name and cannot be labeled as validated current GBPM. Need exact Torvik adaptation and release evidence before any later-cutoff use.",bpm_methods|bpm_release|torvik_author
